application_id,mechanism_id,mechanism_name
APP-00004,BM-001,Status Quo Bias
APP-00008,BM-006,Friction
APP-00032,BM-029,Uncertainty / Ambiguity Aversion
APP-00036,BM-029,Uncertainty / Ambiguity Aversion
APP-00037,BM-029,Uncertainty / Ambiguity Aversion
APP-00044,BM-013,Anchoring
APP-00045,BM-006,Friction
APP-00053,BM-029,Uncertainty / Ambiguity Aversion
APP-00059,BM-029,Uncertainty / Ambiguity Aversion
APP-00063,BM-029,Uncertainty / Ambiguity Aversion
APP-00070,BM-029,Uncertainty / Ambiguity Aversion
APP-00072,BM-029,Uncertainty / Ambiguity Aversion
APP-00079,BM-006,Friction
APP-00095,BM-006,Friction
APP-00100,BM-029,Uncertainty / Ambiguity Aversion
APP-00105,BM-006,Friction
APP-00145,BM-029,Uncertainty / Ambiguity Aversion
APP-00148,BM-001,Status Quo Bias
APP-00155,BM-006,Friction
APP-00173,BM-006,Friction
APP-00179,BM-029,Uncertainty / Ambiguity Aversion
APP-00183,BM-006,Friction
APP-00243,BM-006,Friction
APP-00286,BM-013,Anchoring
APP-00289,BM-029,Uncertainty / Ambiguity Aversion
APP-00303,BM-001,Status Quo Bias
APP-00342,BM-006,Friction
APP-00348,BM-006,Friction
APP-00373,BM-006,Friction
APP-00373,BM-029,Uncertainty / Ambiguity Aversion
APP-00389,BM-001,Status Quo Bias
APP-00398,BM-006,Friction
APP-00400,BM-006,Friction
APP-00429,BM-006,Friction
APP-00439,BM-006,Friction
APP-00444,BM-006,Friction
APP-00461,BM-029,Uncertainty / Ambiguity Aversion
APP-00468,BM-013,Anchoring
APP-00496,BM-029,Uncertainty / Ambiguity Aversion
APP-00507,BM-029,Uncertainty / Ambiguity Aversion
APP-00524,BM-006,Friction
APP-00548,BM-029,Uncertainty / Ambiguity Aversion
APP-00562,BM-001,Status Quo Bias
APP-00562,BM-029,Uncertainty / Ambiguity Aversion
APP-00565,BM-006,Friction
APP-00578,BM-001,Status Quo Bias
APP-00595,BM-006,Friction
APP-00603,BM-006,Friction
APP-00611,BM-029,Uncertainty / Ambiguity Aversion
APP-00640,BM-029,Uncertainty / Ambiguity Aversion
APP-00645,BM-029,Uncertainty / Ambiguity Aversion
APP-00652,BM-006,Friction
APP-00698,BM-006,Friction
APP-00702,BM-029,Uncertainty / Ambiguity Aversion
APP-00706,BM-006,Friction
APP-00716,BM-029,Uncertainty / Ambiguity Aversion
APP-00736,BM-029,Uncertainty / Ambiguity Aversion
APP-00741,BM-001,Status Quo Bias
APP-00759,BM-006,Friction
APP-00762,BM-001,Status Quo Bias
APP-00770,BM-029,Uncertainty / Ambiguity Aversion
APP-00789,BM-006,Friction
APP-00797,BM-029,Uncertainty / Ambiguity Aversion
APP-00828,BM-006,Friction
APP-00889,BM-029,Uncertainty / Ambiguity Aversion
APP-00890,BM-001,Status Quo Bias
APP-00922,BM-029,Uncertainty / Ambiguity Aversion
APP-00953,BM-006,Friction
APP-00960,BM-029,Uncertainty / Ambiguity Aversion
APP-00968,BM-001,Status Quo Bias
APP-00969,BM-010,Endowment Effect
APP-00974,BM-006,Friction
APP-01017,BM-006,Friction
APP-01029,BM-029,Uncertainty / Ambiguity Aversion
APP-01042,BM-029,Uncertainty / Ambiguity Aversion
APP-01088,BM-006,Friction
APP-01089,BM-006,Friction
APP-01093,BM-029,Uncertainty / Ambiguity Aversion
APP-01120,BM-029,Uncertainty / Ambiguity Aversion
APP-01121,BM-006,Friction
APP-01132,BM-006,Friction
APP-01141,BM-029,Uncertainty / Ambiguity Aversion
APP-01146,BM-001,Status Quo Bias
APP-01148,BM-006,Friction
APP-01151,BM-029,Uncertainty / Ambiguity Aversion
APP-01161,BM-006,Friction
APP-01171,BM-029,Uncertainty / Ambiguity Aversion
APP-01204,BM-029,Uncertainty / Ambiguity Aversion
APP-01209,BM-029,Uncertainty / Ambiguity Aversion
APP-01248,BM-006,Friction
APP-01266,BM-001,Status Quo Bias
APP-01270,BM-006,Friction
APP-01274,BM-029,Uncertainty / Ambiguity Aversion
APP-01290,BM-029,Uncertainty / Ambiguity Aversion
APP-01295,BM-029,Uncertainty / Ambiguity Aversion
APP-01296,BM-029,Uncertainty / Ambiguity Aversion
APP-01303,BM-029,Uncertainty / Ambiguity Aversion
APP-01305,BM-029,Uncertainty / Ambiguity Aversion
