application_id,candidate_id,requisition_id,client_account_id,recruiter_id,job_title,job_family,location_city,location_state,work_arrangement,contract_type,years_experience,application_source,pay_rate_prior,pay_rate_offered,notice_period_days,application_date,interview_date,offer_date,offer_response_date,expected_start_date,actual_start_date,offer_extended,offer_accepted,final_disposition,disposition_date,research_split,req_requisition_open_date,client_client_name,client_primary_job_families_general,client_hiring_speed_tier,client_pay_band_tier,client_preferred_work_arrangement,recruiter_recruiter_first_name,recruiter_team,recruiter_tenure_months,recruiter_typical_followup_speed_tier,recruiter_typical_communication_frequency_tier,days_application_to_interview,days_interview_to_offer,days_offer_to_response,days_acceptance_to_expected_start,days_expected_to_actual_start,pay_change_absolute,pay_change_percentage,total_communications,total_stage_events
APP-00001,CAND-00001,REQ-00053,CLI-002,REC-005,Registered Nurse,Healthcare,Raleigh,NC,remote,1099,8.6,referral,27.14,30.18,13,2024-07-27,2024-08-16,2024-08-30,2024-09-04,2024-10-04,2024-10-04,True,True,joined_on_time,2024-10-04,held_out_test,2024-06-19,Client_Beta_HealthSystem,Healthcare,slow,market,onsite,Ashley,Team_Healthcare,40,fast,low,20,14,5,30,0.0,3.039999999999999,11.201179071481207,4,8
APP-00002,CAND-00002,REQ-00006,CLI-007,REC-008,Registered Nurse,Healthcare,Philadelphia,PA,onsite,1099,2.1,career_site,37.92,39.66,21,2025-03-11,2025-03-27,2025-04-14,2025-04-16,2025-04-24,2025-05-08,True,True,joined_late,2025-05-08,hypothesis_generation,2025-01-27,Client_Eta_RegionalClinics,Healthcare,medium,below_market,onsite,Wei,Team_Healthcare,8,fast,medium,16,18,2,8,14.0,1.7399999999999949,4.588607594936695,5,9
APP-00003,CAND-00003,REQ-00160,CLI-005,REC-007,Civil Engineer,Engineering,Tucson,AZ,onsite,Contract-to-Hire,2.9,job_board,,38.5,3,2024-12-04,2024-12-11,2024-12-15,2024-12-17,2025-01-19,2025-01-18,True,True,joined_on_time,2025-01-18,discovery,2024-11-03,Client_Epsilon_Manufacturing,Engineering;Light Industrial,slow,below_market,onsite,Emily,Team_Technical,22,fast,medium,7,4,2,33,-1.0,,,3,7
APP-00004,CAND-00004,REQ-00166,CLI-003,REC-018,Accounts Payable Clerk,Finance/Accounting,Nashville,TN,hybrid,Contract-to-Hire,3.5,job_board,30.35,33.37,1,2024-11-19,2024-11-27,2024-12-04,2024-12-10,2025-01-05,2025-01-06,True,True,joined_on_time,2025-01-06,discovery,2024-10-11,Client_Gamma_FinServ,Finance/Accounting,medium,above_market,hybrid,Linh,Team_Commercial,40,slow,high,8,7,6,26,1.0,3.019999999999996,9.950576606260283,9,9
APP-00005,CAND-00005,REQ-00061,CLI-004,REC-012,Systems Administrator,IT/Technology,Jacksonville,FL,remote,Direct Hire,4.9,job_board,44.13,45.65,0,2025-03-17,2025-03-27,2025-04-12,2025-04-16,2025-05-01,,True,True,withdrew_post_acceptance,2025-04-29,discovery,2025-02-17,Client_Delta_SoftwareCo,IT/Technology,medium,above_market,remote,Sofia,Team_Commercial,70,slow,high,10,16,4,15,,1.519999999999996,3.444368910038513,8,6
APP-00006,CAND-00006,REQ-00060,CLI-008,REC-004,Data Analyst,IT/Technology,Tucson,AZ,hybrid,W2 Contract,4.1,staffing_event,40.78,46.21,3,2025-05-10,2025-05-19,2025-06-01,2025-06-06,2025-06-29,2025-06-29,True,True,joined_on_time,2025-06-29,held_out_test,2025-04-21,Client_Theta_TechScaleup,IT/Technology,fast,market,hybrid,David,Team_Technical,30,fast,high,9,13,5,23,0.0,5.43,13.315350662089259,4,7
APP-00007,CAND-00007,REQ-00175,CLI-011,REC-012,HR Coordinator,Administrative/Professional,Cincinnati,OH,remote,W2 Contract,14.2,staffing_event,16.64,19.17,15,2025-06-16,2025-06-23,2025-07-03,2025-07-03,2025-08-02,2025-08-02,True,True,joined_on_time,2025-08-02,held_out_test,2025-05-21,Client_Lambda_Distribution,Light Industrial;Administrative/Professional,fast,below_market,onsite,Sofia,Team_Commercial,70,slow,high,7,10,0,30,0.0,2.530000000000001,15.20432692307693,11,7
APP-00008,CAND-00008,REQ-00185,CLI-005,REC-010,Process Engineer,Engineering,Houston,TX,onsite,Direct Hire,3.3,referral,38.41,35.89,9,2025-06-20,2025-06-26,2025-07-07,2025-07-07,2025-08-10,,True,False,declined_offer,2025-07-07,discovery,2025-06-14,Client_Epsilon_Manufacturing,Engineering;Light Industrial,slow,below_market,onsite,Nia,Team_Technical,22,medium,low,6,11,0,34,,-2.519999999999996,-6.560791460557137,4,4
APP-00009,CAND-00009,REQ-00133,CLI-007,REC-014,Medical Coder,Healthcare,Pittsburgh,PA,onsite,1099,1.4,job_board,,21.72,5,2024-03-10,2024-03-27,2024-04-09,2024-04-09,2024-05-02,,True,True,withdrew_post_acceptance,2024-04-11,hypothesis_generation,2024-02-12,Client_Eta_RegionalClinics,Healthcare,medium,below_market,onsite,Rachel,Team_Healthcare,22,fast,medium,17,13,0,23,,,,10,6
APP-00010,CAND-00010,REQ-00173,CLI-006,REC-006,Administrative Assistant,Administrative/Professional,Cincinnati,OH,hybrid,W2 Contract,6.8,recruiter_sourced,27.08,28.52,16,2025-05-29,2025-06-04,2025-06-16,2025-06-22,2025-06-30,2025-06-30,True,True,joined_on_time,2025-06-30,held_out_test,2025-05-24,Client_Zeta_InsuranceGroup,Finance/Accounting;Administrative/Professional,slow,market,hybrid,Carlos,Team_Commercial,8,fast,medium,6,12,6,8,0.0,1.4400000000000013,5.3175775480059135,3,9
