hypothesis_id,mechanism_id,scenario_id,journey_stage,population,segment,outcome_variable,null_hypothesis,alternative_hypothesis,comparison_group,sample_size,discovery_dataset_reference,status,created_date,tested_date,validation_status,mechanism_name,hypothesis_statement,proposed_statistical_test,analyst_notes
HYP-74e669469c7f,BM-001,SCN-e7bf3cd1739f,submitted,"Candidates who reached accepted-offer stage, discovery + hypothesis_generation splits only",All job families (not yet stratified -- see analyst_notes),final_disposition,There is no difference in final_disposition distribution between applications with vs. without approved evidence for 'Status Quo Bias'.,There is a difference in final_disposition distribution between applications with vs. without approved evidence for 'Status Quo Bias'.,"Applications with mechanism_id=BM-001 vs. applications without it, within the same population",247,behavior_outcome_dataset (discovery + hypothesis_generation splits),TESTED,2026-09-20T15:02:08.893207+00:00,2026-09-20T15:02:44.441084+00:00,TESTED_NOT_HELD_OUT_VALIDATED,Status Quo Bias,"Among candidates reaching accepted-offer stage, applications containing approved evidence consistent with 'Status Quo Bias' will show a different post-acceptance joining outcome distribution than applications without that approved evidence.",Chi-square test of independence,Auto-generated from approved evidence -> approved mechanism mappings -> behavior_outcome_dataset. Not stratified by segment in this MVP pass. Eligibility thresholds: MVP CONFIGURATION -- NOT SCIENTIFICALLY VALIDATED THRESHOLDS.
HYP-5674a4bf009b,BM-002,SCN-fe0f17fc0893,submitted,"Candidates who reached accepted-offer stage, discovery + hypothesis_generation splits only",All job families (not yet stratified -- see analyst_notes),final_disposition,There is no difference in final_disposition distribution between applications with vs. without approved evidence for 'Loss Aversion'.,There is a difference in final_disposition distribution between applications with vs. without approved evidence for 'Loss Aversion'.,"Applications with mechanism_id=BM-002 vs. applications without it, within the same population",151,behavior_outcome_dataset (discovery + hypothesis_generation splits),TESTED,2026-09-20T15:02:08.894361+00:00,2026-09-20T15:02:44.441084+00:00,TESTED_NOT_HELD_OUT_VALIDATED,Loss Aversion,"Among candidates reaching accepted-offer stage, applications containing approved evidence consistent with 'Loss Aversion' will show a different post-acceptance joining outcome distribution than applications without that approved evidence.",Chi-square test of independence,Auto-generated from approved evidence -> approved mechanism mappings -> behavior_outcome_dataset. Not stratified by segment in this MVP pass. Eligibility thresholds: MVP CONFIGURATION -- NOT SCIENTIFICALLY VALIDATED THRESHOLDS.
HYP-1d2e0d9f4f23,BM-005,SCN-efe020490a8a,submitted,"Candidates who reached accepted-offer stage, discovery + hypothesis_generation splits only",All job families (not yet stratified -- see analyst_notes),final_disposition,There is no difference in final_disposition distribution between applications with vs. without approved evidence for 'Choice Overload'.,There is a difference in final_disposition distribution between applications with vs. without approved evidence for 'Choice Overload'.,"Applications with mechanism_id=BM-005 vs. applications without it, within the same population",69,behavior_outcome_dataset (discovery + hypothesis_generation splits),TESTED,2026-09-20T15:02:08.895534+00:00,2026-09-20T15:02:44.441084+00:00,TESTED_NOT_HELD_OUT_VALIDATED,Choice Overload,"Among candidates reaching accepted-offer stage, applications containing approved evidence consistent with 'Choice Overload' will show a different post-acceptance joining outcome distribution than applications without that approved evidence.",Chi-square test of independence,Auto-generated from approved evidence -> approved mechanism mappings -> behavior_outcome_dataset. Not stratified by segment in this MVP pass. Eligibility thresholds: MVP CONFIGURATION -- NOT SCIENTIFICALLY VALIDATED THRESHOLDS.
HYP-69211be7ae96,BM-006,SCN-9894f8f1d625,submitted,"Candidates who reached accepted-offer stage, discovery + hypothesis_generation splits only",All job families (not yet stratified -- see analyst_notes),final_disposition,There is no difference in final_disposition distribution between applications with vs. without approved evidence for 'Friction'.,There is a difference in final_disposition distribution between applications with vs. without approved evidence for 'Friction'.,"Applications with mechanism_id=BM-006 vs. applications without it, within the same population",339,behavior_outcome_dataset (discovery + hypothesis_generation splits),TESTED,2026-09-20T15:02:08.896952+00:00,2026-09-20T15:02:44.441084+00:00,TESTED_NOT_HELD_OUT_VALIDATED,Friction,"Among candidates reaching accepted-offer stage, applications containing approved evidence consistent with 'Friction' will show a different post-acceptance joining outcome distribution than applications without that approved evidence.",Chi-square test of independence,Auto-generated from approved evidence -> approved mechanism mappings -> behavior_outcome_dataset. Not stratified by segment in this MVP pass. Eligibility thresholds: MVP CONFIGURATION -- NOT SCIENTIFICALLY VALIDATED THRESHOLDS.
HYP-c422b8325cad,BM-010,SCN-529a7b4bccb2,client_interview_1,"Candidates who reached accepted-offer stage, discovery + hypothesis_generation splits only",All job families (not yet stratified -- see analyst_notes),final_disposition,There is no difference in final_disposition distribution between applications with vs. without approved evidence for 'Endowment Effect'.,There is a difference in final_disposition distribution between applications with vs. without approved evidence for 'Endowment Effect'.,"Applications with mechanism_id=BM-010 vs. applications without it, within the same population",2,behavior_outcome_dataset (discovery + hypothesis_generation splits),PROPOSED,2026-09-20T15:02:08.897991+00:00,,,Endowment Effect,"Among candidates reaching accepted-offer stage, applications containing approved evidence consistent with 'Endowment Effect' will show a different post-acceptance joining outcome distribution than applications without that approved evidence.",Fisher's exact test (small expected cell counts),Auto-generated from approved evidence -> approved mechanism mappings -> behavior_outcome_dataset. Not stratified by segment in this MVP pass. Eligibility thresholds: MVP CONFIGURATION -- NOT SCIENTIFICALLY VALIDATED THRESHOLDS.
HYP-109c1918b704,BM-011,SCN-0c829d9e1bd9,submitted,"Candidates who reached accepted-offer stage, discovery + hypothesis_generation splits only",All job families (not yet stratified -- see analyst_notes),final_disposition,There is no difference in final_disposition distribution between applications with vs. without approved evidence for 'Reciprocity'.,There is a difference in final_disposition distribution between applications with vs. without approved evidence for 'Reciprocity'.,"Applications with mechanism_id=BM-011 vs. applications without it, within the same population",174,behavior_outcome_dataset (discovery + hypothesis_generation splits),TESTED,2026-09-20T15:02:08.899102+00:00,2026-09-20T15:02:44.441084+00:00,TESTED_NOT_HELD_OUT_VALIDATED,Reciprocity,"Among candidates reaching accepted-offer stage, applications containing approved evidence consistent with 'Reciprocity' will show a different post-acceptance joining outcome distribution than applications without that approved evidence.",Chi-square test of independence,Auto-generated from approved evidence -> approved mechanism mappings -> behavior_outcome_dataset. Not stratified by segment in this MVP pass. Eligibility thresholds: MVP CONFIGURATION -- NOT SCIENTIFICALLY VALIDATED THRESHOLDS.
HYP-ac061ebc8dd0,BM-013,SCN-9052c55390b3,client_interview_1,"Candidates who reached accepted-offer stage, discovery + hypothesis_generation splits only",All job families (not yet stratified -- see analyst_notes),final_disposition,There is no difference in final_disposition distribution between applications with vs. without approved evidence for 'Anchoring'.,There is a difference in final_disposition distribution between applications with vs. without approved evidence for 'Anchoring'.,"Applications with mechanism_id=BM-013 vs. applications without it, within the same population",8,behavior_outcome_dataset (discovery + hypothesis_generation splits),TESTED,2026-09-20T15:02:08.900141+00:00,2026-09-20T15:02:44.441084+00:00,TESTED_NOT_HELD_OUT_VALIDATED,Anchoring,"Among candidates reaching accepted-offer stage, applications containing approved evidence consistent with 'Anchoring' will show a different post-acceptance joining outcome distribution than applications without that approved evidence.",Fisher's exact test (small expected cell counts),Auto-generated from approved evidence -> approved mechanism mappings -> behavior_outcome_dataset. Not stratified by segment in this MVP pass. Eligibility thresholds: MVP CONFIGURATION -- NOT SCIENTIFICALLY VALIDATED THRESHOLDS.
HYP-251cc0afecee,BM-014,SCN-10db321e551e,submitted,"Candidates who reached accepted-offer stage, discovery + hypothesis_generation splits only",All job families (not yet stratified -- see analyst_notes),final_disposition,There is no difference in final_disposition distribution between applications with vs. without approved evidence for 'Confirmation Bias'.,There is a difference in final_disposition distribution between applications with vs. without approved evidence for 'Confirmation Bias'.,"Applications with mechanism_id=BM-014 vs. applications without it, within the same population",78,behavior_outcome_dataset (discovery + hypothesis_generation splits),TESTED,2026-09-20T15:02:08.901202+00:00,2026-09-20T15:02:44.441084+00:00,TESTED_NOT_HELD_OUT_VALIDATED,Confirmation Bias,"Among candidates reaching accepted-offer stage, applications containing approved evidence consistent with 'Confirmation Bias' will show a different post-acceptance joining outcome distribution than applications without that approved evidence.",Chi-square test of independence,Auto-generated from approved evidence -> approved mechanism mappings -> behavior_outcome_dataset. Not stratified by segment in this MVP pass. Eligibility thresholds: MVP CONFIGURATION -- NOT SCIENTIFICALLY VALIDATED THRESHOLDS.
HYP-2e87d860bd2c,BM-016,SCN-1f0d7c5344d4,background_check,"Candidates who reached accepted-offer stage, discovery + hypothesis_generation splits only",All job families (not yet stratified -- see analyst_notes),final_disposition,There is no difference in final_disposition distribution between applications with vs. without approved evidence for 'Peak-End Rule'.,There is a difference in final_disposition distribution between applications with vs. without approved evidence for 'Peak-End Rule'.,"Applications with mechanism_id=BM-016 vs. applications without it, within the same population",1,behavior_outcome_dataset (discovery + hypothesis_generation splits),PROPOSED,2026-09-20T15:02:08.902187+00:00,,,Peak-End Rule,"Among candidates reaching accepted-offer stage, applications containing approved evidence consistent with 'Peak-End Rule' will show a different post-acceptance joining outcome distribution than applications without that approved evidence.",Fisher's exact test (small expected cell counts),Auto-generated from approved evidence -> approved mechanism mappings -> behavior_outcome_dataset. Not stratified by segment in this MVP pass. Eligibility thresholds: MVP CONFIGURATION -- NOT SCIENTIFICALLY VALIDATED THRESHOLDS.
HYP-d3d94f9166ab,BM-018,SCN-f5285c3406d1,background_check,"Candidates who reached accepted-offer stage, discovery + hypothesis_generation splits only",All job families (not yet stratified -- see analyst_notes),final_disposition,There is no difference in final_disposition distribution between applications with vs. without approved evidence for 'Identity Signaling'.,There is a difference in final_disposition distribution between applications with vs. without approved evidence for 'Identity Signaling'.,"Applications with mechanism_id=BM-018 vs. applications without it, within the same population",87,behavior_outcome_dataset (discovery + hypothesis_generation splits),TESTED,2026-09-20T15:02:08.903254+00:00,2026-09-20T15:02:44.441084+00:00,TESTED_NOT_HELD_OUT_VALIDATED,Identity Signaling,"Among candidates reaching accepted-offer stage, applications containing approved evidence consistent with 'Identity Signaling' will show a different post-acceptance joining outcome distribution than applications without that approved evidence.",Chi-square test of independence,Auto-generated from approved evidence -> approved mechanism mappings -> behavior_outcome_dataset. Not stratified by segment in this MVP pass. Eligibility thresholds: MVP CONFIGURATION -- NOT SCIENTIFICALLY VALIDATED THRESHOLDS.
