hypothesis_id,test_name,sample_size,group_sizes,effect_size,effect_size_metric,confidence_interval,test_statistic,p_value,adjusted_p_value,multiple_testing_adjustment,covariates_controlled,result_direction,evidence_grade,validation_dataset,run_date,code_version_reference,limitations
HYP-74e669469c7f,chi_square_test,1674,with_mechanism=199;without_mechanism=1475,0.05692776127624382,Cramer's V,not computed for this test,5.425048986570459,0.019849878529826177,0.04366973276561759,Benjamini-Hochberg (applied across all tested hypotheses in this run),none (unadjusted 2x2 comparison),lower_joining_with_mechanism,WEAK,discovery+hypothesis_generation,2026-09-20T15:02:44.441084+00:00,1f723eb,Outcome operationalized as binary joined-vs-not-joined (simplified from the 6-category final_disposition). Association only -- not a causal claim. held_out_test was not used.
HYP-5674a4bf009b,chi_square_test,1674,with_mechanism=105;without_mechanism=1569,0.19777469098804806,Cramer's V,not computed for this test,65.47822273392957,5.875969700068784e-16,6.463566670075663e-15,Benjamini-Hochberg (applied across all tested hypotheses in this run),none (unadjusted 2x2 comparison),lower_joining_with_mechanism,SUPPORTED,discovery+hypothesis_generation,2026-09-20T15:02:44.441084+00:00,1f723eb,Outcome operationalized as binary joined-vs-not-joined (simplified from the 6-category final_disposition). Association only -- not a causal claim. held_out_test was not used.
HYP-1d2e0d9f4f23,chi_square_test,1674,with_mechanism=54;without_mechanism=1620,0.04849571903488037,Cramer's V,not computed for this test,3.9369713961246373,0.04723574574411002,0.08659886719753503,Benjamini-Hochberg (applied across all tested hypotheses in this run),none (unadjusted 2x2 comparison),lower_joining_with_mechanism,INCONCLUSIVE,discovery+hypothesis_generation,2026-09-20T15:02:44.441084+00:00,1f723eb,Outcome operationalized as binary joined-vs-not-joined (simplified from the 6-category final_disposition). Association only -- not a causal claim. held_out_test was not used.
HYP-69211be7ae96,chi_square_test,1674,with_mechanism=299;without_mechanism=1375,0.09153763118115568,Cramer's V,not computed for this test,14.026676881858695,0.00018023537776875632,0.0004956472888640799,Benjamini-Hochberg (applied across all tested hypotheses in this run),none (unadjusted 2x2 comparison),higher_joining_with_mechanism,WEAK,discovery+hypothesis_generation,2026-09-20T15:02:44.441084+00:00,1f723eb,Outcome operationalized as binary joined-vs-not-joined (simplified from the 6-category final_disposition). Association only -- not a causal claim. held_out_test was not used.
HYP-109c1918b704,chi_square_test,1674,with_mechanism=148;without_mechanism=1526,0.0030523021196133897,Cramer's V,not computed for this test,0.015595901736009558,0.9006157394669951,0.9006157394669951,Benjamini-Hochberg (applied across all tested hypotheses in this run),none (unadjusted 2x2 comparison),higher_joining_with_mechanism,INCONCLUSIVE,discovery+hypothesis_generation,2026-09-20T15:02:44.441084+00:00,1f723eb,Outcome operationalized as binary joined-vs-not-joined (simplified from the 6-category final_disposition). Association only -- not a causal claim. held_out_test was not used.
HYP-ac061ebc8dd0,fishers_exact_test,1674,with_mechanism=8;without_mechanism=1666,0.5270394133822182,odds ratio,see odds ratio,0.5270394133822182,0.4590990968604094,0.5611211183849448,Benjamini-Hochberg (applied across all tested hypotheses in this run),none (unadjusted 2x2 comparison),lower_joining_with_mechanism,INCONCLUSIVE,discovery+hypothesis_generation,2026-09-20T15:02:44.441084+00:00,1f723eb,Outcome operationalized as binary joined-vs-not-joined (simplified from the 6-category final_disposition). Association only -- not a causal claim. held_out_test was not used.
HYP-251cc0afecee,chi_square_test,1674,with_mechanism=61;without_mechanism=1613,0.010714148622536359,Cramer's V,not computed for this test,0.19216344970150548,0.6611220640367012,0.7272342704403713,Benjamini-Hochberg (applied across all tested hypotheses in this run),none (unadjusted 2x2 comparison),higher_joining_with_mechanism,INCONCLUSIVE,discovery+hypothesis_generation,2026-09-20T15:02:44.441084+00:00,1f723eb,Outcome operationalized as binary joined-vs-not-joined (simplified from the 6-category final_disposition). Association only -- not a causal claim. held_out_test was not used.
HYP-d3d94f9166ab,chi_square_test,1674,with_mechanism=84;without_mechanism=1590,0.11823941186083807,Cramer's V,not computed for this test,23.4034549577876,1.3134243065553432e-06,4.815889124036259e-06,Benjamini-Hochberg (applied across all tested hypotheses in this run),none (unadjusted 2x2 comparison),higher_joining_with_mechanism,SUPPORTED,discovery+hypothesis_generation,2026-09-20T15:02:44.441084+00:00,1f723eb,Outcome operationalized as binary joined-vs-not-joined (simplified from the 6-category final_disposition). Association only -- not a causal claim. held_out_test was not used.
HYP-4c8090cc059f,chi_square_test,1674,with_mechanism=138;without_mechanism=1536,0.12891487600429277,Cramer's V,not computed for this test,27.820281757208452,1.3312323120996315e-07,7.321777716547973e-07,Benjamini-Hochberg (applied across all tested hypotheses in this run),none (unadjusted 2x2 comparison),higher_joining_with_mechanism,SUPPORTED,discovery+hypothesis_generation,2026-09-20T15:02:44.441084+00:00,1f723eb,Outcome operationalized as binary joined-vs-not-joined (simplified from the 6-category final_disposition). Association only -- not a causal claim. held_out_test was not used.
HYP-f96fc315a6e2,chi_square_test,1674,with_mechanism=174;without_mechanism=1500,0.027500908617549332,Cramer's V,not computed for this test,1.2660461577997977,0.2605097305526636,0.3582008795099124,Benjamini-Hochberg (applied across all tested hypotheses in this run),none (unadjusted 2x2 comparison),higher_joining_with_mechanism,INCONCLUSIVE,discovery+hypothesis_generation,2026-09-20T15:02:44.441084+00:00,1f723eb,Outcome operationalized as binary joined-vs-not-joined (simplified from the 6-category final_disposition). Association only -- not a causal claim. held_out_test was not used.
