application_id,mechanism_id,mechanism_name,mapping_source,mapping_confidence
APP-00032,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-02460,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,HIGH
APP-02469,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-02475,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-02442,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-02429,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-02436,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-02415,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-02372,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-02345,BM-001,Status Quo Bias,HUMAN_REVIEWED,MODERATE
APP-02320,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,HIGH
APP-02324,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-02306,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-02281,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-02285,BM-001,Status Quo Bias,HUMAN_REVIEWED,MODERATE
APP-02256,BM-010,Endowment Effect,HUMAN_REVIEWED,N/A
APP-02249,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-02225,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-02218,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-02224,BM-001,Status Quo Bias,HUMAN_REVIEWED,MODERATE
APP-02203,BM-006,Friction,HUMAN_REVIEWED,HIGH
APP-02176,BM-006,Friction,HUMAN_REVIEWED,HIGH
APP-02194,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-02196,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-02172,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-02176,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-02147,BM-006,Friction,HUMAN_REVIEWED,HIGH
APP-02153,BM-021,Reactance,HUMAN_REVIEWED,N/A
APP-02134,BM-001,Status Quo Bias,HUMAN_REVIEWED,MODERATE
APP-02129,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-02130,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-02106,BM-006,Friction,HUMAN_REVIEWED,HIGH
APP-02111,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-02113,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-02118,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-00036,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-00037,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,HIGH
APP-00044,BM-013,Anchoring,HUMAN_REVIEWED,HIGH
APP-00045,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-02087,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,HIGH
APP-02070,BM-013,Anchoring,HUMAN_REVIEWED,HIGH
APP-02077,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-02058,BM-013,Anchoring,HUMAN_REVIEWED,HIGH
APP-02043,BM-006,Friction,HUMAN_REVIEWED,HIGH
APP-02020,BM-021,Reactance,HUMAN_REVIEWED,N/A
APP-02029,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,HIGH
APP-02034,BM-006,Friction,HUMAN_REVIEWED,HIGH
APP-01985,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-01987,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-01961,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-01961,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-01952,BM-013,Anchoring,HUMAN_REVIEWED,HIGH
APP-01879,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-01880,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-01871,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-01875,BM-013,Anchoring,HUMAN_REVIEWED,HIGH
APP-01879,BM-001,Status Quo Bias,HUMAN_REVIEWED,MODERATE
APP-01845,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-01842,BM-006,Friction,HUMAN_REVIEWED,HIGH
APP-01829,BM-013,Anchoring,HUMAN_REVIEWED,HIGH
APP-01810,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-01816,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-01797,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-00053,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-01732,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-01723,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-01692,BM-001,Status Quo Bias,HUMAN_REVIEWED,MODERATE
APP-01695,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-01696,BM-001,Status Quo Bias,HUMAN_REVIEWED,MODERATE
APP-01700,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,HIGH
APP-01687,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-01657,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-01662,BM-001,Status Quo Bias,HUMAN_REVIEWED,MODERATE
APP-01672,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-01631,BM-001,Status Quo Bias,HUMAN_REVIEWED,MODERATE
APP-01574,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-01561,BM-001,Status Quo Bias,HUMAN_REVIEWED,MODERATE
APP-01565,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,HIGH
APP-01566,BM-006,Friction,HUMAN_REVIEWED,HIGH
APP-01505,BM-006,Friction,HUMAN_REVIEWED,HIGH
APP-01509,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,HIGH
APP-01497,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,HIGH
APP-01433,BM-006,Friction,HUMAN_REVIEWED,HIGH
APP-01408,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,HIGH
APP-01376,BM-001,Status Quo Bias,HUMAN_REVIEWED,MODERATE
APP-01325,BM-016,Peak-End Rule,HUMAN_REVIEWED,N/A
APP-01305,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-01290,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-01295,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-01296,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-01303,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-00059,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,HIGH
APP-00063,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-00070,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,HIGH
APP-00072,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,HIGH
APP-01274,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,HIGH
APP-01266,BM-001,Status Quo Bias,HUMAN_REVIEWED,MODERATE
APP-01270,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-01248,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-01204,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-01209,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-01161,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-01171,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,HIGH
APP-01151,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,HIGH
APP-01146,BM-001,Status Quo Bias,HUMAN_REVIEWED,MODERATE
APP-01148,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-01141,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-01132,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-01120,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-01121,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-01093,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,HIGH
APP-01088,BM-006,Friction,HUMAN_REVIEWED,HIGH
APP-01089,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-01029,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,HIGH
APP-01042,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,HIGH
APP-01017,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-00974,BM-006,Friction,HUMAN_REVIEWED,HIGH
APP-00968,BM-001,Status Quo Bias,HUMAN_REVIEWED,MODERATE
APP-00969,BM-010,Endowment Effect,HUMAN_REVIEWED,N/A
APP-00953,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-00960,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,HIGH
APP-00922,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,HIGH
APP-00079,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-00890,BM-001,Status Quo Bias,HUMAN_REVIEWED,MODERATE
APP-00889,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-00828,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-00789,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-00797,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,HIGH
APP-00770,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-00759,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-00762,BM-001,Status Quo Bias,HUMAN_REVIEWED,MODERATE
APP-00741,BM-001,Status Quo Bias,HUMAN_REVIEWED,MODERATE
APP-00736,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,HIGH
APP-00716,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-00702,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-00706,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-00698,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-00652,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-00640,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,HIGH
APP-00645,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-00603,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-00611,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,HIGH
APP-00595,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-00578,BM-001,Status Quo Bias,HUMAN_REVIEWED,MODERATE
APP-00562,BM-001,Status Quo Bias,HUMAN_REVIEWED,MODERATE
APP-00562,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-00565,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-00548,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-00524,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-00507,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-00496,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-00468,BM-013,Anchoring,HUMAN_REVIEWED,HIGH
APP-00461,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,HIGH
APP-00439,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-00444,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-00429,BM-006,Friction,HUMAN_REVIEWED,HIGH
APP-00398,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-00400,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-00373,BM-029,Uncertainty / Ambiguity Aversion,HUMAN_REVIEWED,MODERATE
APP-00389,BM-001,Status Quo Bias,HUMAN_REVIEWED,MODERATE
APP-00373,BM-006,Friction,HUMAN_REVIEWED,MODERATE
APP-00348,BM-006,Friction,HUMAN_REVIEWED,HIGH
APP-00342,BM-006,Friction,HUMAN_REVIEWED,MODERATE
