mechanism_id,mechanism_name,journey_stage,evidence_count_at_stage,total_evidence_count,human_reviewed_share,outcome_association_tested,evidence_grade,p_value
BM-001,Status Quo Bias,submitted,215,940,0.027,lower_joining_with_mechanism,WEAK,0.0198498785298261
BM-001,Status Quo Bias,background_check,182,940,0.027,lower_joining_with_mechanism,WEAK,0.0198498785298261
BM-001,Status Quo Bias,client_interview_1,166,940,0.027,lower_joining_with_mechanism,WEAK,0.0198498785298261
BM-001,Status Quo Bias,offer_accepted,121,940,0.027,lower_joining_with_mechanism,WEAK,0.0198498785298261
BM-001,Status Quo Bias,screened,74,940,0.027,lower_joining_with_mechanism,WEAK,0.0198498785298261
BM-001,Status Quo Bias,offer_extended,61,940,0.027,lower_joining_with_mechanism,WEAK,0.0198498785298261
BM-001,Status Quo Bias,unknown,48,940,0.027,lower_joining_with_mechanism,WEAK,0.0198498785298261
BM-001,Status Quo Bias,client_interview_2,37,940,0.027,lower_joining_with_mechanism,WEAK,0.0198498785298261
BM-001,Status Quo Bias,onboarding_docs_sent,36,940,0.027,lower_joining_with_mechanism,WEAK,0.0198498785298261
BM-002,Loss Aversion,submitted,41,199,0.0,lower_joining_with_mechanism,SUPPORTED,5.875969700068784e-16
BM-002,Loss Aversion,client_interview_1,35,199,0.0,lower_joining_with_mechanism,SUPPORTED,5.875969700068784e-16
BM-002,Loss Aversion,background_check,34,199,0.0,lower_joining_with_mechanism,SUPPORTED,5.875969700068784e-16
BM-002,Loss Aversion,offer_accepted,27,199,0.0,lower_joining_with_mechanism,SUPPORTED,5.875969700068784e-16
BM-002,Loss Aversion,offer_extended,25,199,0.0,lower_joining_with_mechanism,SUPPORTED,5.875969700068784e-16
BM-002,Loss Aversion,client_interview_2,15,199,0.0,lower_joining_with_mechanism,SUPPORTED,5.875969700068784e-16
BM-002,Loss Aversion,screened,11,199,0.0,lower_joining_with_mechanism,SUPPORTED,5.875969700068784e-16
BM-002,Loss Aversion,unknown,6,199,0.0,lower_joining_with_mechanism,SUPPORTED,5.875969700068784e-16
BM-002,Loss Aversion,onboarding_docs_sent,5,199,0.0,lower_joining_with_mechanism,SUPPORTED,5.875969700068784e-16
BM-005,Choice Overload,submitted,66,286,0.0,lower_joining_with_mechanism,INCONCLUSIVE,0.04723574574411
BM-005,Choice Overload,client_interview_1,61,286,0.0,lower_joining_with_mechanism,INCONCLUSIVE,0.04723574574411
BM-005,Choice Overload,background_check,39,286,0.0,lower_joining_with_mechanism,INCONCLUSIVE,0.04723574574411
BM-005,Choice Overload,screened,36,286,0.0,lower_joining_with_mechanism,INCONCLUSIVE,0.04723574574411
BM-005,Choice Overload,offer_accepted,33,286,0.0,lower_joining_with_mechanism,INCONCLUSIVE,0.04723574574411
BM-005,Choice Overload,offer_extended,22,286,0.0,lower_joining_with_mechanism,INCONCLUSIVE,0.04723574574411
BM-005,Choice Overload,client_interview_2,14,286,0.0,lower_joining_with_mechanism,INCONCLUSIVE,0.04723574574411
BM-005,Choice Overload,unknown,11,286,0.0,lower_joining_with_mechanism,INCONCLUSIVE,0.04723574574411
BM-005,Choice Overload,onboarding_docs_sent,4,286,0.0,lower_joining_with_mechanism,INCONCLUSIVE,0.04723574574411
BM-006,Friction,submitted,361,1736,0.046,higher_joining_with_mechanism,WEAK,0.0001802353777687
BM-006,Friction,client_interview_1,311,1736,0.046,higher_joining_with_mechanism,WEAK,0.0001802353777687
BM-006,Friction,background_check,285,1736,0.046,higher_joining_with_mechanism,WEAK,0.0001802353777687
BM-006,Friction,offer_accepted,221,1736,0.046,higher_joining_with_mechanism,WEAK,0.0001802353777687
BM-006,Friction,offer_extended,142,1736,0.046,higher_joining_with_mechanism,WEAK,0.0001802353777687
BM-006,Friction,screened,113,1736,0.046,higher_joining_with_mechanism,WEAK,0.0001802353777687
BM-006,Friction,onboarding_docs_sent,106,1736,0.046,higher_joining_with_mechanism,WEAK,0.0001802353777687
BM-006,Friction,client_interview_2,105,1736,0.046,higher_joining_with_mechanism,WEAK,0.0001802353777687
BM-006,Friction,unknown,92,1736,0.046,higher_joining_with_mechanism,WEAK,0.0001802353777687
BM-010,Endowment Effect,screened,1,2,1.0,not tested,not tested,
BM-010,Endowment Effect,client_interview_1,1,2,1.0,not tested,not tested,
BM-011,Reciprocity,submitted,78,364,0.0,higher_joining_with_mechanism,INCONCLUSIVE,0.9006157394669951
BM-011,Reciprocity,background_check,74,364,0.0,higher_joining_with_mechanism,INCONCLUSIVE,0.9006157394669951
BM-011,Reciprocity,client_interview_1,72,364,0.0,higher_joining_with_mechanism,INCONCLUSIVE,0.9006157394669951
BM-011,Reciprocity,offer_accepted,46,364,0.0,higher_joining_with_mechanism,INCONCLUSIVE,0.9006157394669951
BM-011,Reciprocity,offer_extended,28,364,0.0,higher_joining_with_mechanism,INCONCLUSIVE,0.9006157394669951
BM-011,Reciprocity,screened,24,364,0.0,higher_joining_with_mechanism,INCONCLUSIVE,0.9006157394669951
BM-011,Reciprocity,unknown,16,364,0.0,higher_joining_with_mechanism,INCONCLUSIVE,0.9006157394669951
BM-011,Reciprocity,onboarding_docs_sent,13,364,0.0,higher_joining_with_mechanism,INCONCLUSIVE,0.9006157394669951
