mechanism_id,mechanism_name,behavior_prevalence_evidence_count,applications_affected,dominant_journey_stage,evidence_strength,effect_size,statistical_p_value,human_reviewed_share,priority_score,priority_band
BM-029,Uncertainty / Ambiguity Aversion,985,419,submitted,INCONCLUSIVE,0.0279975935212276,0.2519984511480994,0.072,METHODOLOGY_PENDING,METHODOLOGY_PENDING
BM-006,Friction,1736,339,submitted,WEAK,0.0915376311811556,0.0001802353777687,0.046,METHODOLOGY_PENDING,METHODOLOGY_PENDING
BM-001,Status Quo Bias,940,247,submitted,WEAK,0.0569277612762438,0.0198498785298261,0.027,METHODOLOGY_PENDING,METHODOLOGY_PENDING
BM-023,Goal Gradient,548,196,background_check,INCONCLUSIVE,0.0275009086175493,0.2605097305526636,0.0,METHODOLOGY_PENDING,METHODOLOGY_PENDING
BM-011,Reciprocity,364,174,submitted,INCONCLUSIVE,0.0030523021196133,0.9006157394669951,0.0,METHODOLOGY_PENDING,METHODOLOGY_PENDING
BM-002,Loss Aversion,199,151,submitted,SUPPORTED,0.197774690988048,5.875969700068784e-16,0.0,METHODOLOGY_PENDING,METHODOLOGY_PENDING
BM-020,Commitment / Consistency,220,145,background_check,SUPPORTED,0.1289148760042927,1.3312323120996317e-07,0.0,METHODOLOGY_PENDING,METHODOLOGY_PENDING
BM-018,Identity Signaling,160,87,background_check,SUPPORTED,0.118239411860838,1.3134243065553432e-06,0.0,METHODOLOGY_PENDING,METHODOLOGY_PENDING
BM-014,Confirmation Bias,298,78,submitted,INCONCLUSIVE,0.0107141486225363,0.6611220640367012,0.0,METHODOLOGY_PENDING,METHODOLOGY_PENDING
BM-005,Choice Overload,286,69,submitted,INCONCLUSIVE,0.0484957190348803,0.04723574574411,0.0,METHODOLOGY_PENDING,METHODOLOGY_PENDING
BM-013,Anchoring,8,8,client_interview_1,INCONCLUSIVE,0.5270394133822182,0.4590990968604094,1.0,METHODOLOGY_PENDING,METHODOLOGY_PENDING
BM-010,Endowment Effect,2,2,client_interview_1,not tested,,,1.0,METHODOLOGY_PENDING,METHODOLOGY_PENDING
BM-021,Reactance,2,2,client_interview_1,not tested,,,1.0,METHODOLOGY_PENDING,METHODOLOGY_PENDING
BM-016,Peak-End Rule,1,1,background_check,not tested,,,1.0,METHODOLOGY_PENDING,METHODOLOGY_PENDING
