candidate_id,application_id,requisition_id,client_account_id,recruiter_id,job_title,job_family,location_city,location_state,work_arrangement,contract_type,years_experience,application_source,pay_rate_prior,pay_rate_offered,application_date,interview_date,offer_date,offer_response_date,expected_start_date,actual_start_date,offer_extended,offer_accepted,final_disposition,disposition_date,notice_period_days,research_split
CAND-00001,APP-00001,REQ-00053,CLI-002,REC-005,Registered Nurse,Healthcare,Raleigh,NC,remote,1099,8.6,referral,27.14,30.18,2024-07-27,2024-08-16,2024-08-30,2024-09-04,2024-10-04,2024-10-04,True,True,joined_on_time,2024-10-04,13,held_out_test
CAND-00002,APP-00002,REQ-00006,CLI-007,REC-008,Registered Nurse,Healthcare,Philadelphia,PA,onsite,1099,2.1,career_site,37.92,39.66,2025-03-11,2025-03-27,2025-04-14,2025-04-16,2025-04-24,2025-05-08,True,True,joined_late,2025-05-08,21,hypothesis_generation
CAND-00003,APP-00003,REQ-00160,CLI-005,REC-007,Civil Engineer,Engineering,Tucson,AZ,onsite,Contract-to-Hire,2.9,job_board,,38.5,2024-12-04,2024-12-11,2024-12-15,2024-12-17,2025-01-19,2025-01-18,True,True,joined_on_time,2025-01-18,3,discovery
CAND-00004,APP-00004,REQ-00166,CLI-003,REC-018,Accounts Payable Clerk,Finance/Accounting,Nashville,TN,hybrid,Contract-to-Hire,3.5,job_board,30.35,33.37,2024-11-19,2024-11-27,2024-12-04,2024-12-10,2025-01-05,2025-01-06,True,True,joined_on_time,2025-01-06,1,discovery
CAND-00005,APP-00005,REQ-00061,CLI-004,REC-012,Systems Administrator,IT/Technology,Jacksonville,FL,remote,Direct Hire,4.9,job_board,44.13,45.65,2025-03-17,2025-03-27,2025-04-12,2025-04-16,2025-05-01,,True,True,withdrew_post_acceptance,2025-04-29,0,discovery
CAND-00006,APP-00006,REQ-00060,CLI-008,REC-004,Data Analyst,IT/Technology,Tucson,AZ,hybrid,W2 Contract,4.1,staffing_event,40.78,46.21,2025-05-10,2025-05-19,2025-06-01,2025-06-06,2025-06-29,2025-06-29,True,True,joined_on_time,2025-06-29,3,held_out_test
CAND-00007,APP-00007,REQ-00175,CLI-011,REC-012,HR Coordinator,Administrative/Professional,Cincinnati,OH,remote,W2 Contract,14.2,staffing_event,16.64,19.17,2025-06-16,2025-06-23,2025-07-03,2025-07-03,2025-08-02,2025-08-02,True,True,joined_on_time,2025-08-02,15,held_out_test
CAND-00008,APP-00008,REQ-00185,CLI-005,REC-010,Process Engineer,Engineering,Houston,TX,onsite,Direct Hire,3.3,referral,38.41,35.89,2025-06-20,2025-06-26,2025-07-07,2025-07-07,2025-08-10,,True,False,declined_offer,2025-07-07,9,discovery
CAND-00009,APP-00009,REQ-00133,CLI-007,REC-014,Medical Coder,Healthcare,Pittsburgh,PA,onsite,1099,1.4,job_board,,21.72,2024-03-10,2024-03-27,2024-04-09,2024-04-09,2024-05-02,,True,True,withdrew_post_acceptance,2024-04-11,5,hypothesis_generation
CAND-00010,APP-00010,REQ-00173,CLI-006,REC-006,Administrative Assistant,Administrative/Professional,Cincinnati,OH,hybrid,W2 Contract,6.8,recruiter_sourced,27.08,28.52,2025-05-29,2025-06-04,2025-06-16,2025-06-22,2025-06-30,2025-06-30,True,True,joined_on_time,2025-06-30,16,held_out_test
CAND-00011,APP-00011,REQ-00033,CLI-009,REC-016,Quality Engineer,Engineering,Austin,TX,onsite,1099,4.4,recruiter_sourced,41.83,42.98,2024-05-30,2024-06-04,2024-06-06,2024-06-08,2024-06-22,,True,False,declined_offer,2024-06-08,6,held_out_test
CAND-00012,APP-00012,REQ-00092,CLI-011,REC-009,Data Entry Clerk,Administrative/Professional,Houston,TX,onsite,Direct Hire,3.1,recruiter_sourced,22.4,23.12,2024-04-06,2024-04-18,2024-04-27,2024-04-29,2024-05-10,,True,False,declined_offer,2024-04-29,11,discovery
CAND-00013,APP-00013,REQ-00179,CLI-006,REC-018,Senior Accountant,Finance/Accounting,Orlando,FL,hybrid,Contract-to-Hire,2.9,job_board,22.69,25.62,2024-02-25,2024-03-14,2024-03-16,2024-03-21,2024-04-11,2024-05-02,True,True,joined_late,2024-05-02,9,discovery
CAND-00014,APP-00014,REQ-00186,CLI-011,REC-009,Machine Operator,Light Industrial,Indianapolis,IN,onsite,Contract-to-Hire,1.2,recruiter_sourced,17.67,20.83,2025-07-31,2025-08-08,2025-08-12,2025-08-16,2025-09-02,2025-09-01,True,True,joined_on_time,2025-09-01,11,hypothesis_generation
CAND-00015,APP-00015,REQ-00203,CLI-010,REC-008,Executive Assistant,Administrative/Professional,Phoenix,AZ,hybrid,W2 Contract,2.5,recruiter_sourced,22.0,22.94,2024-05-03,2024-05-21,2024-05-24,2024-05-29,2024-06-15,2024-06-15,True,True,joined_on_time,2024-06-15,2,hypothesis_generation
CAND-00016,APP-00016,REQ-00174,CLI-009,REC-007,Mechanical Engineer,Engineering,Jacksonville,FL,onsite,W2 Contract,1.0,job_board,48.82,50.34,2025-02-10,2025-02-16,2025-02-28,2025-03-01,2025-03-11,,True,True,accepted_no_show,2025-03-11,12,discovery
CAND-00017,APP-00017,REQ-00022,CLI-009,REC-016,Civil Engineer,Engineering,Phoenix,AZ,remote,1099,5.5,recruiter_sourced,31.72,39.59,2024-02-18,2024-02-26,2024-03-03,2024-03-03,2024-04-04,2024-04-04,True,True,joined_on_time,2024-04-04,4,discovery
CAND-00018,APP-00018,REQ-00147,CLI-003,REC-003,Senior Accountant,Finance/Accounting,St. Louis,MO,hybrid,1099,2.3,recruiter_sourced,39.03,39.6,2024-05-16,2024-05-31,2024-06-17,2024-06-19,2024-06-28,,True,True,withdrew_post_acceptance,2024-06-23,8,held_out_test
