event_id,application_id,stage_name,stage_timestamp,days_in_prior_stage
EVT-000001,APP-00001,screened,2024-07-27,0
EVT-000002,APP-00001,submitted,2024-07-28,1
EVT-000003,APP-00001,client_interview_1,2024-08-16,19
EVT-000004,APP-00001,offer_extended,2024-08-30,14
EVT-000005,APP-00001,offer_accepted,2024-09-04,5
EVT-000006,APP-00001,background_check,2024-09-07,3
EVT-000007,APP-00001,onboarding_docs_sent,2024-09-28,21
EVT-000008,APP-00001,start_date,2024-10-04,6
EVT-000009,APP-00002,screened,2025-03-11,0
EVT-000010,APP-00002,submitted,2025-03-15,4
EVT-000011,APP-00002,client_interview_1,2025-03-27,12
EVT-000012,APP-00002,client_interview_2,2025-03-30,3
EVT-000013,APP-00002,offer_extended,2025-04-14,15
EVT-000014,APP-00002,offer_accepted,2025-04-16,2
EVT-000015,APP-00002,background_check,2025-04-17,1
EVT-000016,APP-00002,onboarding_docs_sent,2025-04-18,1
EVT-000017,APP-00002,start_date,2025-05-08,20
EVT-000018,APP-00003,screened,2024-12-07,0
EVT-000019,APP-00003,submitted,2024-12-09,2
EVT-000020,APP-00003,client_interview_1,2024-12-11,2
EVT-000021,APP-00003,offer_extended,2024-12-15,4
EVT-000022,APP-00003,offer_accepted,2024-12-17,2
EVT-000023,APP-00003,background_check,2024-12-18,1
EVT-000024,APP-00003,start_date,2025-01-18,31
EVT-000025,APP-00004,screened,2024-11-20,0
EVT-000026,APP-00004,submitted,2024-11-24,4
EVT-000027,APP-00004,client_interview_1,2024-11-27,3
EVT-000028,APP-00004,client_interview_2,2024-12-01,4
EVT-000029,APP-00004,offer_extended,2024-12-04,3
EVT-000030,APP-00004,offer_accepted,2024-12-10,6
EVT-000031,APP-00004,background_check,2024-12-16,6
EVT-000032,APP-00004,onboarding_docs_sent,2025-01-01,16
EVT-000033,APP-00004,start_date,2025-01-06,5
EVT-000034,APP-00005,screened,2025-03-17,0
EVT-000035,APP-00005,submitted,2025-03-20,3
EVT-000036,APP-00005,client_interview_1,2025-03-27,7
EVT-000037,APP-00005,offer_extended,2025-04-12,16
EVT-000038,APP-00005,offer_accepted,2025-04-16,4
EVT-000039,APP-00005,background_check,2025-04-17,1
EVT-000040,APP-00006,screened,2025-05-13,0
EVT-000041,APP-00006,submitted,2025-05-14,1
EVT-000042,APP-00006,client_interview_1,2025-05-19,5
EVT-000043,APP-00006,offer_extended,2025-06-01,13
EVT-000044,APP-00006,offer_accepted,2025-06-06,5
EVT-000045,APP-00006,background_check,2025-06-11,5
EVT-000046,APP-00006,start_date,2025-06-29,18
EVT-000047,APP-00007,screened,2025-06-18,0
EVT-000048,APP-00007,submitted,2025-06-20,2
EVT-000049,APP-00007,client_interview_1,2025-06-23,3
EVT-000050,APP-00007,offer_extended,2025-07-03,10
EVT-000051,APP-00007,offer_accepted,2025-07-03,0
EVT-000052,APP-00007,background_check,2025-07-07,4
EVT-000053,APP-00007,start_date,2025-08-02,26
EVT-000054,APP-00008,screened,2025-06-20,0
EVT-000055,APP-00008,submitted,2025-06-22,2
EVT-000056,APP-00008,client_interview_1,2025-06-26,4
EVT-000057,APP-00008,offer_extended,2025-07-07,11
EVT-000058,APP-00009,screened,2024-03-13,0
EVT-000059,APP-00009,submitted,2024-03-16,3
EVT-000060,APP-00009,client_interview_1,2024-03-27,11
EVT-000061,APP-00009,offer_extended,2024-04-09,13
EVT-000062,APP-00009,offer_accepted,2024-04-09,0
EVT-000063,APP-00009,background_check,2024-04-12,3
EVT-000064,APP-00010,screened,2025-05-31,0
EVT-000065,APP-00010,submitted,2025-06-03,3
EVT-000066,APP-00010,client_interview_1,2025-06-04,1
EVT-000067,APP-00010,client_interview_2,2025-06-10,6
EVT-000068,APP-00010,offer_extended,2025-06-16,6
EVT-000069,APP-00010,offer_accepted,2025-06-22,6
EVT-000070,APP-00010,background_check,2025-06-24,2
EVT-000071,APP-00010,onboarding_docs_sent,2025-06-28,4
EVT-000072,APP-00010,start_date,2025-06-30,2
EVT-000073,APP-00011,screened,2024-05-31,0
EVT-000074,APP-00011,submitted,2024-06-02,2
EVT-000075,APP-00011,client_interview_1,2024-06-04,2
EVT-000076,APP-00011,offer_extended,2024-06-06,2
EVT-000077,APP-00012,screened,2024-04-08,0
EVT-000078,APP-00012,submitted,2024-04-10,2
EVT-000079,APP-00012,client_interview_1,2024-04-18,8
EVT-000080,APP-00012,offer_extended,2024-04-27,9
EVT-000081,APP-00013,screened,2024-02-25,0
EVT-000082,APP-00013,submitted,2024-02-27,2
EVT-000083,APP-00013,client_interview_1,2024-03-14,16
EVT-000084,APP-00013,offer_extended,2024-03-16,2
EVT-000085,APP-00013,offer_accepted,2024-03-21,5
EVT-000086,APP-00013,background_check,2024-03-28,7
EVT-000087,APP-00013,onboarding_docs_sent,2024-04-09,12
EVT-000088,APP-00013,start_date,2024-05-02,23
EVT-000089,APP-00014,screened,2025-08-02,0
EVT-000090,APP-00014,submitted,2025-08-04,2
EVT-000091,APP-00014,client_interview_1,2025-08-08,4
EVT-000092,APP-00014,offer_extended,2025-08-12,4
EVT-000093,APP-00014,offer_accepted,2025-08-16,4
EVT-000094,APP-00014,background_check,2025-08-24,8
EVT-000095,APP-00014,onboarding_docs_sent,2025-08-31,7
EVT-000096,APP-00014,start_date,2025-09-01,1
EVT-000097,APP-00015,screened,2024-05-04,0
EVT-000098,APP-00015,submitted,2024-05-07,3
EVT-000099,APP-00015,client_interview_1,2024-05-21,14
EVT-000100,APP-00015,offer_extended,2024-05-24,3
EVT-000101,APP-00015,offer_accepted,2024-05-29,5
EVT-000102,APP-00015,background_check,2024-06-05,7
EVT-000103,APP-00015,onboarding_docs_sent,2024-06-13,8
EVT-000104,APP-00015,start_date,2024-06-15,2
EVT-000105,APP-00016,screened,2025-02-13,0
EVT-000106,APP-00016,submitted,2025-02-14,1
EVT-000107,APP-00016,client_interview_1,2025-02-16,2
EVT-000108,APP-00016,offer_extended,2025-02-28,12
EVT-000109,APP-00016,offer_accepted,2025-03-01,1
