brand,kpi,value
Smartworks,EBITDA,"6,596.70"
Awfis,EBITDA,"2,450.00"
Wework,EBITDA,"10,437.91"
Smartworks,EBITDA Margin,63.47%
Awfis,EBITDA Margin,28.90%
Wework,EBITDA Margin,62.69%
Smartworks,Adjusted EBITDA,"1,060.37"
Wework,Adjusted EBITDA,"3,397.47"
Smartworks,Occupancy Rate,79.77%
Awfis,Occupancy Rate,71.00%
Smartworks,Net Worth,500.07
Awfis,Net Worth,"2,514.31"
Table Space,Net Worth,"5,101.28"
Wework,Net Worth,"(4,376.45)"
Awfis,Net Profit / (Loss),(175.67)
Table Space,Net Profit / (Loss),52.60
Wework,Net Profit / (Loss),"(1,357.73)"
Awfis,Total Assets,"13,980.79"
Table Space,Total Assets,"42,705.62"
Wework,Total Assets,"44,827.61"
