hypothesis_id,mechanism_id,mechanism_name,scenario_id,comparison_group,outcome,group_n,comparison_n,group_outcome_rate,comparison_outcome_rate,absolute_difference,effect_size,effect_size_metric,confidence_interval,adjusted_p_value,evidence_grade,plain_english_interpretation
HYP-74e669469c7f,BM-001,Status Quo Bias,SCN-e7bf3cd1739f,"Applications with mechanism_id=BM-001 vs. applications without it, within the same population",final_disposition,199,1475,0.5779,0.6644,-0.0865,0.0569277612762438,Cramer's V,not computed for this test,0.0436697327656175,WEAK,"Applications with approved Status Quo Bias evidence showed a 58% joining rate, versus 66% for the comparison group, in the current analytical sample. Association only -- not a causal claim."
HYP-5674a4bf009b,BM-002,Loss Aversion,SCN-fe0f17fc0893,"Applications with mechanism_id=BM-002 vs. applications without it, within the same population",final_disposition,105,1569,0.2857,0.6788,-0.3931,0.197774690988048,Cramer's V,not computed for this test,6.463566670075663e-15,SUPPORTED,"Applications with approved Loss Aversion evidence showed a 29% joining rate, versus 68% for the comparison group, in the current analytical sample. Association only -- not a causal claim."
HYP-1d2e0d9f4f23,BM-005,Choice Overload,SCN-efe020490a8a,"Applications with mechanism_id=BM-005 vs. applications without it, within the same population",final_disposition,54,1620,0.5185,0.6586,-0.1401,0.0484957190348803,Cramer's V,not computed for this test,0.086598867197535,INCONCLUSIVE,"Applications with approved Choice Overload evidence showed a 52% joining rate, versus 66% for the comparison group, in the current analytical sample. Association only -- not a causal claim."
HYP-69211be7ae96,BM-006,Friction,SCN-9894f8f1d625,"Applications with mechanism_id=BM-006 vs. applications without it, within the same population",final_disposition,299,1375,0.7492,0.6335,0.1157,0.0915376311811556,Cramer's V,not computed for this test,0.000495647288864,WEAK,"Applications with approved Friction evidence showed a 75% joining rate, versus 63% for the comparison group, in the current analytical sample. Association only -- not a causal claim."
HYP-109c1918b704,BM-011,Reciprocity,SCN-0c829d9e1bd9,"Applications with mechanism_id=BM-011 vs. applications without it, within the same population",final_disposition,148,1526,0.6622,0.6533,0.0088,0.0030523021196133,Cramer's V,not computed for this test,0.9006157394669951,INCONCLUSIVE,"Applications with approved Reciprocity evidence showed a 66% joining rate, versus 65% for the comparison group, in the current analytical sample. Association only -- not a causal claim."
HYP-ac061ebc8dd0,BM-013,Anchoring,SCN-9052c55390b3,"Applications with mechanism_id=BM-013 vs. applications without it, within the same population",final_disposition,8,1666,0.5,0.6549,-0.1549,0.5270394133822182,odds ratio,see odds ratio,0.5611211183849448,INCONCLUSIVE,"Applications with approved Anchoring evidence showed a 50% joining rate, versus 65% for the comparison group, in the current analytical sample. Association only -- not a causal claim."
HYP-251cc0afecee,BM-014,Confirmation Bias,SCN-10db321e551e,"Applications with mechanism_id=BM-014 vs. applications without it, within the same population",final_disposition,61,1613,0.6885,0.6528,0.0357,0.0107141486225363,Cramer's V,not computed for this test,0.7272342704403713,INCONCLUSIVE,"Applications with approved Confirmation Bias evidence showed a 69% joining rate, versus 65% for the comparison group, in the current analytical sample. Association only -- not a causal claim."
HYP-d3d94f9166ab,BM-018,Identity Signaling,SCN-f5285c3406d1,"Applications with mechanism_id=BM-018 vs. applications without it, within the same population",final_disposition,84,1590,0.9048,0.6409,0.2639,0.118239411860838,Cramer's V,not computed for this test,4.815889124036259e-06,SUPPORTED,"Applications with approved Identity Signaling evidence showed a 90% joining rate, versus 64% for the comparison group, in the current analytical sample. Association only -- not a causal claim."
HYP-4c8090cc059f,BM-020,Commitment / Consistency,SCN-556fc2d4ee91,"Applications with mechanism_id=BM-020 vs. applications without it, within the same population",final_disposition,138,1536,0.8623,0.6354,0.2269,0.1289148760042927,Cramer's V,not computed for this test,7.321777716547973e-07,SUPPORTED,"Applications with approved Commitment / Consistency evidence showed a 86% joining rate, versus 64% for the comparison group, in the current analytical sample. Association only -- not a causal claim."
HYP-f96fc315a6e2,BM-023,Goal Gradient,SCN-02c1dbc51f2e,"Applications with mechanism_id=BM-023 vs. applications without it, within the same population",final_disposition,174,1500,0.6954,0.6493,0.0461,0.0275009086175493,Cramer's V,not computed for this test,0.3582008795099124,INCONCLUSIVE,"Applications with approved Goal Gradient evidence showed a 70% joining rate, versus 65% for the comparison group, in the current analytical sample. Association only -- not a causal claim."
HYP-179c7acccf3e,BM-029,Uncertainty / Ambiguity Aversion,SCN-01ca24ced9ed,"Applications with mechanism_id=BM-029 vs. applications without it, within the same population",final_disposition,337,1337,0.6261,0.6612,-0.0351,0.0279975935212276,Cramer's V,not computed for this test,0.3582008795099124,INCONCLUSIVE,"Applications with approved Uncertainty / Ambiguity Aversion evidence showed a 63% joining rate, versus 66% for the comparison group, in the current analytical sample. Association only -- not a causal claim."
