journey_stage,scenario_id,scenario_name,mechanism_id,mechanism_name,applications_observed,scenario_share_within_stage,associated_dropoff_count,associated_dropoff_rate,information_gap_count,leakage_intensity,behavior_intensity,bpi_mvp_score,relative_priority_band
offer_extended,AGG-BM-006-offer_extended,Friction — offer_extended,BM-006,Friction,90,0.3349,40,0.4444,142,0.4444,0.9224,0.6834,P1_HIGHEST_ATTENTION
client_interview_2,AGG-BM-006-client_interview_2,Friction — client_interview_2,BM-006,Friction,51,0.3571,18,0.3529,105,0.3529,0.9837,0.6683,P1_HIGHEST_ATTENTION
unknown,AGG-BM-006-unknown,Friction — unknown,BM-006,Friction,61,0.3286,25,0.4098,92,0.4098,0.905,0.6574,P1_HIGHEST_ATTENTION
client_interview_1,AGG-BM-006-client_interview_1,Friction — client_interview_1,BM-006,Friction,161,0.3055,74,0.4596,311,0.4596,0.8412,0.6504,P1_HIGHEST_ATTENTION
screened,AGG-BM-006-screened,Friction — screened,BM-006,Friction,84,0.2678,42,0.5,113,0.5,0.737,0.6185,P1_HIGHEST_ATTENTION
submitted,AGG-BM-006-submitted,Friction — submitted,BM-006,Friction,160,0.2883,67,0.4188,361,0.4188,0.7936,0.6062,P1_HIGHEST_ATTENTION
offer_extended,AGG-BM-002-offer_extended,Loss Aversion — offer_extended,BM-002,Loss Aversion,24,0.059,24,1.0,25,1.0,0.1602,0.5801,P1_HIGHEST_ATTENTION
unknown,AGG-BM-029-unknown,Uncertainty / Ambiguity Aversion — unknown,BM-029,Uncertainty / Ambiguity Aversion,33,0.1571,24,0.7273,44,0.7273,0.4312,0.5792,P1_HIGHEST_ATTENTION
offer_accepted,AGG-BM-006-offer_accepted,Friction — offer_accepted,BM-006,Friction,120,0.2974,37,0.3083,221,0.3083,0.8188,0.5636,P1_HIGHEST_ATTENTION
unknown,AGG-BM-001-unknown,Status Quo Bias — unknown,BM-001,Status Quo Bias,42,0.1714,27,0.6429,48,0.6429,0.4707,0.5568,P1_HIGHEST_ATTENTION
submitted,AGG-BM-029-submitted,Uncertainty / Ambiguity Aversion — submitted,BM-029,Uncertainty / Ambiguity Aversion,161,0.1901,91,0.5652,238,0.5652,0.5224,0.5438,P1_HIGHEST_ATTENTION
unknown,AGG-BM-002-unknown,Loss Aversion — unknown,BM-002,Loss Aversion,6,0.0214,6,1.0,6,1.0,0.0564,0.5282,P1_HIGHEST_ATTENTION
client_interview_1,AGG-BM-001-client_interview_1,Status Quo Bias — client_interview_1,BM-001,Status Quo Bias,106,0.1631,64,0.6038,166,0.6038,0.4478,0.5258,P1_HIGHEST_ATTENTION
offer_extended,AGG-BM-029-offer_extended,Uncertainty / Ambiguity Aversion — offer_extended,BM-029,Uncertainty / Ambiguity Aversion,60,0.1745,34,0.5667,74,0.5667,0.4793,0.523,P1_HIGHEST_ATTENTION
client_interview_2,AGG-BM-029-client_interview_2,Uncertainty / Ambiguity Aversion — client_interview_2,BM-029,Uncertainty / Ambiguity Aversion,38,0.1769,21,0.5526,52,0.5526,0.4859,0.5192,P1_HIGHEST_ATTENTION
submitted,AGG-BM-001-submitted,Status Quo Bias — submitted,BM-001,Status Quo Bias,125,0.1717,70,0.56,215,0.56,0.4715,0.5158,P1_HIGHEST_ATTENTION
onboarding_docs_sent,AGG-BM-006-onboarding_docs_sent,Friction — onboarding_docs_sent,BM-006,Friction,67,0.363,2,0.0299,106,0.0299,1.0,0.515,P1_HIGHEST_ATTENTION
client_interview_2,AGG-BM-005-client_interview_2,Choice Overload — client_interview_2,BM-005,Choice Overload,10,0.0476,9,0.9,14,0.9,0.1287,0.5144,P1_HIGHEST_ATTENTION
offer_extended,AGG-BM-001-offer_extended,Status Quo Bias — offer_extended,BM-001,Status Quo Bias,48,0.1439,30,0.625,61,0.625,0.3948,0.5099,P1_HIGHEST_ATTENTION
