journey_stage,scenario_id,scenario_name,mechanism_id,mechanism_name,applications_observed,scenario_share_within_stage,associated_dropoff_count,associated_dropoff_rate,information_gap_count
background_check,AGG-BM-001-background_check,Status Quo Bias — background_check,BM-001,Status Quo Bias,88,0.1777,27,0.3068,182
background_check,AGG-BM-002-background_check,Loss Aversion — background_check,BM-002,Loss Aversion,33,0.0332,24,0.7273,34
background_check,AGG-BM-005-background_check,Choice Overload — background_check,BM-005,Choice Overload,24,0.0381,6,0.25,39
background_check,AGG-BM-006-background_check,Friction — background_check,BM-006,Friction,130,0.2783,25,0.1923,285
background_check,AGG-BM-011-background_check,Reciprocity — background_check,BM-011,Reciprocity,51,0.0723,15,0.2941,74
background_check,AGG-BM-014-background_check,Confirmation Bias — background_check,BM-014,Confirmation Bias,23,0.043,6,0.2609,44
background_check,AGG-BM-016-background_check,Peak-End Rule — background_check,BM-016,Peak-End Rule,1,0.001,1,1.0,1
background_check,AGG-BM-018-background_check,Identity Signaling — background_check,BM-018,Identity Signaling,29,0.0352,1,0.0345,36
background_check,AGG-BM-020-background_check,Commitment / Consistency — background_check,BM-020,Commitment / Consistency,35,0.042,3,0.0857,43
background_check,AGG-BM-023-background_check,Goal Gradient — background_check,BM-023,Goal Gradient,78,0.123,17,0.2179,126
background_check,AGG-BM-029-background_check,Uncertainty / Ambiguity Aversion — background_check,BM-029,Uncertainty / Ambiguity Aversion,110,0.1562,31,0.2818,160
client_interview_1,AGG-BM-001-client_interview_1,Status Quo Bias — client_interview_1,BM-001,Status Quo Bias,106,0.1631,64,0.6038,166
client_interview_1,AGG-BM-002-client_interview_1,Loss Aversion — client_interview_1,BM-002,Loss Aversion,34,0.0344,28,0.8235,35
client_interview_1,AGG-BM-005-client_interview_1,Choice Overload — client_interview_1,BM-005,Choice Overload,36,0.0599,26,0.7222,61
client_interview_1,AGG-BM-006-client_interview_1,Friction — client_interview_1,BM-006,Friction,161,0.3055,74,0.4596,311
client_interview_1,AGG-BM-010-client_interview_1,Endowment Effect — client_interview_1,BM-010,Endowment Effect,1,0.001,0,0.0,1
client_interview_1,AGG-BM-011-client_interview_1,Reciprocity — client_interview_1,BM-011,Reciprocity,52,0.0707,26,0.5,72
